index,is_hatespeech,class,text
0,1,1,if america another 8 years obamas ideology via hillary wed well way shithole country
1,1,3,most canadians never met seen associated person currently labelled retarded i plan tu2026
2,1,5,hahaha grow faggot
3,1,3,queue fucking retarded makes everyone feel like even chance make fcfs fucksake
4,1,1,que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu
5,1,3,dude iu2019m tired retarded
6,1,0,pretty sure employee philip green called balding racist sexist twat would perceived dismiu2026
7,1,1,btw are allowed say shithole countries are also allowed say wesu2026
8,1,3,this bitch is retarded ud83dude02ud83dude02ud83dude02ud83dude02 i hate
9,1,4,still bitter cunt why much interest arsenal he player player fod us get sold
10,1,1,to losely quote trumptrumpers we dont need immigrants vietnam country…
11,1,4,children 52 refugees
12,1,1,it doesn’t right he negro default
13,1,3,absolute mongoloid gtfo lmaooo
14,1,3,many mdszs classical golden scenes cut stupid retarded shitty idea going au2026
15,1,1,what fuck suicide male prostitute rubbish chinaman lee hsien loong imagining hu2026
16,1,1,are okay giving benefits illegal aliens ary okay working illegally ar…
17,1,1,mongoloid literally said wrong place 15 times
18,1,4,everything better when cunt alive
19,1,1,unaccounted illegal aliens happy tufail one
20,1,0,what measures opt keep premises ud83cudfe2 office kitchen breaklunch rooms ud83euddf9 spic amp spanu2026
21,1,1,economic asylum isnu2019t thing neither u201cmy country shitholeu201d asylum nnhow mu2026
22,1,4,retarded toxic femininity ud83dude2a
23,1,0,man leave one week first twat nut
24,1,5,scomo biggest faggot madden historyud83dude02ud83dude02ud83dude02he bashes everyone anything madden heu2026
25,1,3,now trump hate jews lmfao ya niggas full retard you know work right anu2026
26,1,1,honduras guatemala would considered shithole countries well
27,1,1,dawg rondo fucking retarded
28,1,3,get theyu2019re dead communist literally retard mode
29,1,3,welcome twitter club known as reported far left retarded cry babyu2026
30,1,0,damn right mfs retarded
31,1,1,what fuck suicide male prostitute rubbish chinaman lee hsien loong imagining rubbu2026
32,1,4,cum eye ball faggot dickhead fucking cunt slut cakes
33,1,3,matter hard try always retarded math
34,1,1,now ching chong style
35,1,5,come serve faggots my messages open looking new faggot fill space wallet findom
36,1,3,i swear boyfriend partially retarded times
37,1,4,if i cunt would walking away
38,1,3,yes retarded leader paper tiger
39,1,3,selling dvds hahahaha shop gonna hate woman counter mongy cunt anyway deseru2026
40,1,4,iu2019m done dealing little bitches grow fucking pair cunt
41,1,3,cmon machado fucking mongoloid
42,1,1,these r shithole countries cuz american amp european imperialist capitalism helped make so failing war onu2026
43,1,4,feminazi detected
44,1,1,so many dead illegal aliens vote blue november dems aren’t worried
45,1,3,u dad fucking retard
46,1,3,gtif people truly matter even one retarded hold much importancennthey dontu2026
47,1,3,i feel retarded cant i
48,1,3,my baby daddy retarded bitch
49,1,1,fair nigger
50,1,0,they really want turn country shithole not going happen
51,1,3,the dodamage slogan unbelievably stupid itu2019s every offenseu2019s goal damage it gives mongoloid boston fu2026
52,1,0,these called shithole countries trump
53,1,0,mr drabu snobby twat are
54,1,2,second grade called dirty jew another second grade girl made sense me…
55,1,5,my grandma called faggot today thatu2019s new low
56,1,3,i literally waited red light five minutes im fucking retard
57,1,0,what roofe pen eithernnfuck cuntnnwe enough win game fact were takinu2026
58,1,0,sure except directly quoting trumpu2019s u201cshithole countriesu201d
59,1,1,let rot shithole chose never ever ever let near country
60,1,3,so iu2019m looking relationship means iu2019m trying hoe around ud83dude02ud83dude02ud83dude02 retard juice strong
61,1,4,carrying retard boy
62,1,1,babe ruth dirty jew
63,1,0,when people get offended insults jokes words like retarded autistic faggot etc
64,1,1,keep mind call faggot spanish doesnu2019t mean i canu2019t still understand you
65,1,5,pretty much hes little dick faggot needs ass beat reality check aint shit
66,1,3,a retard
67,1,0,treating like treat dengists id probably say read book retard post bu2026
68,1,3,not gonna happen retarded traders get etf approval
69,1,0,fat mongy mess today ud83eudd15ud83eudd15
70,1,3,okay really americans fucking mongy
71,1,1,fuck ching chong siopao dimsum shit sa question 3 cant understand cant c n e x u l z e kasi vague
72,1,1,anyways harry styles could call dirty spic id still munch asshole shame
73,1,4,what cunt will report blasphemy
74,1,1,my kids better live balls shithole country
75,1,3,u201cyou smell like farted arted ab honor roll fu2019s retardedu201d
76,1,3,saddest anime cus hes retarded
77,1,0,its always liberals threaten im spic deported supporting trump
78,1,3,both a skilled human driver save retarded ai job yet these comu2026
79,1,1,i gotta pick spanish cus i cant spic ass family butchering babys name lmao
80,1,4,went passed fancy dress shop southside n thereu2019s actual fucking bouncers outside ya cunt imagine kbu2019du2026
81,1,1,trump would press win argument shithole countries im sure adults leu2026
82,1,1,pretty sure called spic four times already
83,1,3,it went full retard
84,1,3,yeah long west ham fans ok fuking retard
85,1,1,trump orange presbyterian mongoloid
86,1,1,whatnskip funny fuck i love him heu2019s retard heu2019s legend
87,1,1,ching ching chong rootbox ohhh got youtube money
88,1,1,britain 2018 third world shitholenna country sharia leaders cut clitorises baby girls wiu2026
89,1,1,found everyones origins africa i aloud say nigger nohatejustasking
90,1,1,24 hours swakopmund namibia travel africa ttot
91,1,5,old lesbians called baby dyke am offended iu2019m 24
92,1,3,i agree totally if word retarded politically incorrect thats i would call dave roberts
93,1,3,dave roberts certified retard
94,1,3,fuckin retard
95,1,0,nyc shithole country god quickly destroyed rudy build shameless
96,1,1,well parents likencarikla ching chong guy college
97,1,5,i look like dyke bruh ud83dude2d
98,1,3,look retarded
99,1,4,bald twat nnhe cant anything tie
100,1,5,pl faggot
101,1,3,so damn retarded ud83eudd26ud83cudffdu200du2642ufe0f
102,1,1,i think late immigrants africa likely succeed america black americans
103,1,5,yu2019all niggas gay hella faggot ass shit
104,1,1,yup pretty much im leaving shithole country
105,1,1,truly fucking baffles people genuinely fucking think saying u201cching chong ling lang dingu201d actuallu2026
106,1,1,saying raghead goat one tweet instafollow standardsud83eudd23ud83eudd23ud83eudd23ud83dude1c
107,1,3,shut retard ud83dude02
108,1,4,men fucking retarded
109,1,1,learn speak ching chong — um
110,1,4,hildebrand twat pure simple
111,1,1,will explaining defend illegal aliens citizens
112,1,1,spic got eye u ingrates
113,1,0,thete nrrd call corina cunt no need
114,1,3,talk retard
115,1,4,of course feminazis roll one other what frauds
116,1,1,fuck defectornla garbage town garbage fanbasenalso fuck gingerbearded twat turner
117,1,3,this sob retard dangerous asshole planet shame brasil
118,1,1,spic polach
119,1,3,that family reached full retard
120,1,4,a feminist called fat twat
121,1,1,lol know mean nigger got caught again
122,1,0,you alec u2014 you retarded
123,1,1,oh well try hard shithole countriesmaybe someday happen
124,1,1,nigga started lagging left retard
125,1,3,omg tea using terms hurt offend used sorry idc youu2019re retarded ud83dude10u2728
126,1,1,remember i’m negro open mind got skin doorwayne
127,1,3,all exams passed collage thank fuck never go mongy place cheeky pay rise beforeu2026
128,1,1,i love negro
129,1,5,altered original dykeesque costume b slutty bc tristan inspires b whore n hes eve n goingu2026
130,1,1,hes burning funko pop like mongoloid
131,1,1,mom like ching chong bing bong were eating bird dinner
132,1,0,keep mind i’m negroso open mind got screen door impressive carterv
133,1,1,youre skipping shithole cities ndetrou2026
134,1,1,you truely little mongy ud83eudd23ud83dude48ud83dudc4dud83cudffb ud83dudc47ud83cudffb
135,1,1,girl i give 3 days twitter cunt puts ass lockup again
136,1,5,somebody tell faggot ass poe square up not show 17 dick riders
137,1,3,i would beat chink faggot
138,1,3,the bonge always going full retard
139,1,0,if want prove know big cunt beshoot amp kill sleeping lion thatu2019ll dou2026
140,1,3,debating different economic systems models go full retard claiming hyu2026
141,1,5,the gator chomp faggot shit iu2019ve ever seen life
142,1,0,unreal crawling bed 13 hour nightshift next doors yappy little cunt dog wakes ud83dude44
143,1,0,etesvous d’accord avec bernard kouchner qui dit que « nous devrions prendre plus de migrants »
144,1,3,think lil i corrected fucking retarded iu2019m losing brain cellsu2026
145,1,2,at first i thought leftist muslim terrorist i wrong we neeu2026
