index,is_hatespeech,class,text
0,1,1,if america had another 8 years of obamas ideology via hillary wed be well on our way to being a shithole country
1,1,3,most canadians have never met seen or associated with a person who are currently labelled as retarded i plan tu2026
2,1,5,hahaha grow up faggot
3,1,3,queue is fucking retarded it makes everyone feel like they dont even have a chance make it fcfs again for fucksake
4,1,1,que ce ne soit pas des burundais refugies alerte car leur corps sont visibles a loeil nu
5,1,3,dude iu2019m so tired of being retarded
6,1,0,pretty sure if an employee of philip green called him a balding racist sexist twat it would be perceived as dismiu2026
7,1,1,btw are we now allowed to say shithole countries are we also allowed to say how wesu2026
8,1,3,this bitch is retarded ud83dude02ud83dude02ud83dude02ud83dude02 i hate her
9,1,4,still a bitter cunt why so much interest in arsenal he isnt the only player to player fod us and get sold
10,1,1,to losely quote trumptrumpers we dont need immigrants from vietnam in this country…
11,1,4,children 52 of refugees
12,1,1,it doesn’t right he a negro by default
13,1,3,absolute mongoloid gtfo lmaooo
14,1,3,many mdszs classical and golden scenes will be cut just because of the stupid retarded and shitty idea of going au2026
15,1,1,what the fuck suicide is male prostitute rubbish chinaman lee hsien loong imagining hu2026
16,1,1,are you okay with giving benefits to illegal aliens ary okay with them working here illegally ar…
17,1,1,this mongoloid literally said the wrong place 15 times
18,1,4,everything is better when her cunt is alive
19,1,1,unaccounted illegal aliens are happy tufail is one
20,1,0,what measures you should opt for to keep the premises of your ud83cudfe2 office kitchen and breaklunch rooms ud83euddf9 spic amp spanu2026
21,1,1,economic asylum isnu2019t a thing neither is u201cmy country is a shitholeu201d asylum nnhow mu2026
22,1,4,retarded toxic femininity ud83dude2a
23,1,0,man i leave for one week and the first twat to nut on this
24,1,5,scomo the biggest faggot in madden historyud83dude02ud83dude02ud83dude02he just bashes everyone who has anything to do with madden because heu2026
25,1,3,now trump hate the jews lmfao ya niggas are full retard you know he work for and right anu2026
26,1,1,honduras guatemala would these be considered shithole countries as well
27,1,1,dawg rondo is fucking retarded
28,1,3,get it because theyu2019re dead because communist is literally retard mode
29,1,3,welcome to the twitter club known as youve been reported by a far left retarded cry babyu2026
30,1,0,damn right mfs retarded
31,1,1,what the fuck suicide is male prostitute rubbish chinaman lee hsien loong imagining having his rubbu2026
32,1,4,cum in eye ball faggot dickhead fucking cunt slut cakes
33,1,3,no matter how hard i try i will always be retarded in math
34,1,1,now do it ching chong style
35,1,5,come serve me faggots my messages are open looking for a new faggot to fill a space in my wallet findom
36,1,3,i swear my boyfriend is partially retarded at times
37,1,4,if i was there this cunt would not be walking away
38,1,3,yes retarded not me your leader the paper tiger
39,1,3,selling all my dvds hahahaha the shop is gonna hate me but the woman at the counter is a mongy cunt anyway so deseru2026
40,1,4,iu2019m so done dealing with little bitches grow a fucking pair cunt
41,1,3,cmon machado you fucking mongoloid
42,1,1,these r shithole countries cuz american amp european imperialist capitalism helped make them so failing war onu2026
43,1,4,feminazi detected
44,1,1,so many dead and illegal aliens will vote blue in november dems aren’t worried
45,1,3,u are my dad fucking retard
46,1,3,gtif they arent people and dont truly matter why does even one being retarded hold so much importancennthey dontu2026
47,1,3,i feel so retarded why cant i just do it
48,1,3,my baby daddy a retarded bitch
49,1,1,its not fair nigger
50,1,0,they really want to turn this country into a shithole not going to happen
51,1,3,the dodamage slogan is so unbelievably stupid itu2019s every offenseu2019s goal to do damage it gives mongoloid boston fu2026
52,1,0,these so called shithole countries by trump
53,1,0,mr drabu what a snobby twat you are
54,1,2,in second grade i was called a dirty jew by another second grade girl made no sense to me…
55,1,5,my grandma called me a faggot today thatu2019s a new low
56,1,3,i literally waited at a red light for five minutes im such a fucking retard
57,1,0,what no roofe pen eithernnfuck off cuntnnwe did more than enough to win that game fact were takinu2026
58,1,0,sure except for directly quoting trumpu2019s u201cshithole countriesu201d
59,1,1,let them rot in the shithole they chose never ever ever let them near our country
60,1,3,so because iu2019m not looking to be in a relationship means iu2019m trying hoe around ud83dude02ud83dude02ud83dude02 the retard juice is strong
61,1,4,carrying retard boy
62,1,1,babe ruth was a dirty jew
63,1,0,when people get offended by insults and jokes with words like retarded autistic faggot etc
64,1,1,keep in mind that just because you call me a faggot in spanish doesnu2019t mean i canu2019t still understand you
65,1,5,pretty much hes a little dick faggot that needs his ass beat for a reality check that he aint shit
66,1,3,a retard
67,1,0,no if i was treating you like i treat dengists id probably say read a book retard post a few bu2026
68,1,3,not gonna happen until retarded traders get their etf approval
69,1,0,fat mongy mess today ud83eudd15ud83eudd15
70,1,3,okay but really why are americans so fucking mongy
71,1,1,what the fuck is this ching chong siopao dimsum shit sa question 3 cant understand cant c o n t e x t u a l i z e kasi it is so vague
72,1,1,anyways harry styles could call me a dirty spic and id still munch on his asshole with no shame
73,1,4,what a cunt will you report him for blasphemy
74,1,1,my kids better live in my balls than in this shithole country
75,1,3,u201cyou smell like you farted arted ab honor roll all fu2019s you retardedu201d
76,1,3,saddest anime cus if not hes retarded
77,1,0,its always the liberals that threaten that im a spic and will be deported for supporting trump
78,1,3,both a skilled human driver can save both but a retarded ai is not up to the job yet these comu2026
79,1,1,i gotta pick a spanish myself cus i cant have my spic ass family butchering my babys name lmao
80,1,4,went passed that fancy dress shop at southside n thereu2019s actual fucking bouncers outside ya cunt imagine being kbu2019du2026
81,1,1,trump would press it just to win an argument over shithole countries im sure the adults wont leu2026
82,1,1,pretty sure he called me a spic four times over already
83,1,3,it went full retard
84,1,3,yeah as long as west ham fans are ok fuking retard
85,1,1,trump is an orange presbyterian you mongoloid
86,1,1,whatnskip is funny as fuck i love him heu2019s just a retard but heu2019s a legend
87,1,1,ching ching chong rootbox ohhh i got my youtube money
88,1,1,britain 2018 third world shitholenna country in which sharia leaders can cut off the clitorises of baby girls wiu2026
89,1,1,just found out that everyones origins are from africa am i aloud to say nigger nohatejustasking
90,1,1,24 hours in swakopmund namibia travel africa ttot
91,1,5,these old lesbians called me a baby dyke i am offended iu2019m 24
92,1,3,i agree totally if the word retarded wasnt politically incorrect thats what i would call dave roberts
93,1,3,dave roberts is a certified retard
94,1,3,fuckin retard
95,1,0,nyc is a shithole country in of itself my god how quickly they destroyed what rudy did to build shameless
96,1,1,well my parents likencarikla ching chong guy in your college
97,1,5,i look like a dyke bruh ud83dude2d
98,1,3,i look retarded
99,1,4,bald twat nnhe cant do anything about a tie
100,1,5,pl is a faggot
101,1,3,so damn retarded ud83eudd26ud83cudffdu200du2642ufe0f
102,1,1,i think late immigrants from africa are more likely to succeed in america than black americans
103,1,5,yu2019all niggas gay be doing hella faggot ass shit
104,1,1,yup pretty much im leaving this shithole of a country
105,1,1,it truly fucking baffles me when people genuinely fucking think that saying u201cching chong ling lang dingu201d is actuallu2026
106,1,1,saying raghead and goat in one tweet is instafollow by my standardsud83eudd23ud83eudd23ud83eudd23ud83dude1c
107,1,3,shut up retard ud83dude02
108,1,4,men are fucking retarded
109,1,1,learn how to speak ching chong — um why
110,1,4,hildebrand is a twat pure and simple
111,1,1,will you be explaining why you defend illegal aliens over citizens
112,1,1,this spic has got his eye on all of u ingrates
113,1,0,thete was no nrrd to call corina a cunt no need
114,1,3,talk to her then retard
115,1,4,of course the feminazis will roll one out after the other what frauds
116,1,1,fuck that defectornla is a garbage town with a garbage fanbasenalso fuck that gingerbearded twat turner
117,1,3,this sob retard is the most dangerous asshole on the planet shame on you you brasil
118,1,1,spic polach
119,1,3,that family has reached full retard
120,1,4,a feminist just called me a fat twat
121,1,1,lol you know what i mean nigger got caught again
